,is_decoy,score
1511,False,49.61710919490465
1512,False,37.90914134726189
1528,True,12.6462340078647
1531,False,51.34648230339883
1529,False,200.5431187542152
1539,False,132.73078463936548
1541,False,66.63452718992431
1556,False,169.65856194783692
1562,True,13.343676318962864
1566,False,20.884965158923777
1569,True,9.680329316101838
1570,False,41.65695924256357
1571,False,36.81448707952396
1580,False,51.42505353746071
1589,True,43.34160802209078
1594,False,15.043253100263776
1599,False,59.095157342922285
1601,False,53.84816023650748
1613,False,22.6526409333938
1611,False,50.07719777288052
1624,True,33.945852745859774
1623,True,46.01999557459493
1627,False,17.918239284923892
1634,True,10.334223369382023
1643,True,32.90347316800719
1646,False,41.52600736132689
1647,False,39.06217985863081
1660,True,36.32854774697738
1662,True,34.02398293381452
1666,False,50.56570634729954
1667,False,34.53640502796019
1682,True,26.1045164990673
1678,True,35.97980662015956
1694,True,36.34719272889815
1688,False,36.34719272889815
1693,True,48.16271650302498
1703,False,13.218530850669596
1704,False,27.76502867526531
1709,True,15.610505310530344
1713,False,57.81664239733462
1714,False,48.17441259691073
1723,True,14.01313815915766
1724,True,10.807316805625613
1735,True,53.78369870218257
1726,False,81.60776596111165
1740,False,58.617546114677744
1744,True,49.862422305468414
1759,True,21.31947730073325
1751,False,43.50252517662338
1766,False,55.59996340848761
1770,True,79.85171472019812
1774,False,37.58957829882661
1778,True,47.41189360360448
1784,False,39.2543247803751
1791,False,5.882556707810184
1817,False,55.40662579326585
1827,True,31.594323102667595
1839,False,29.874322735190688
1837,False,32.509925581502
1851,False,13.939282404212182
1860,True,30.70839797078335
1859,True,34.25389040663418
1866,False,70.16467167679143
1877,True,24.313405660973316
1884,False,15.076940330111436
1894,True,15.898238997836966
1897,False,44.18964244879313
1900,False,31.98384570576603
1919,True,37.43953579443208
1915,True,77.11368949291446
1929,True,43.87171836871723
1928,False,14.820371752043169
1939,True,14.354385694196178
1935,False,7.71188131191856
2075,True,14.078014920501428
2052,True,34.72586182957369
2166,True,50.29483599509487
2169,True,25.45218468499136
2181,True,14.553385076000918
2171,False,19.59689403319819
2172,False,14.553385076000918
2189,True,12.60377281453759
2194,True,37.72212014225329
2201,True,44.08236820178087
2202,True,37.43214844327417
2207,True,16.40314881704429
2218,True,63.80859754822946
2211,False,59.34937516341216
2237,True,28.07122105410292
2236,True,41.57447023187656
2296,True,39.16250528037581
2298,True,36.99187439817158
2350,False,63.67404150925063
2349,False,67.12312314135556
2369,True,8.861558381203523
2359,False,39.15519878362661
2372,False,16.773523016990428
2373,False,16.024216653181092
2376,False,11.183736055061123
2387,False,75.84288657661288
2391,True,51.216052832706296
2414,True,30.996815883749367
2415,True,15.742661752224585
2441,True,29.53406963963572
2434,True,37.11895366156449
2446,False,42.25954766296546
2451,True,50.46918580571208
2463,True,45.32363395283453
2464,True,19.7742098405598
2471,True,12.054120594520723
2468,False,5.349505203694785
2484,True,22.677828826349398
2479,True,48.96472475427048
2496,True,37.77874611037148
2501,True,8.745110434233288
2515,False,14.119538903382791
2523,True,14.425455036897423
2525,False,36.93512497802984
2524,False,47.99978590929435
2551,True,37.85785282135471
2553,True,31.74077063694769
2550,True,37.85785282135471
2534,False,37.85785282135471
2568,False,46.44758318806591
2570,True,68.8661496299294
2584,True,5.263945153463218
2577,False,18.52300894493392
2600,True,64.6943831208733
2601,True,61.85666134080953
2622,True,37.66619346502638
2624,True,32.63316601188019
2633,False,20.3794608439153
2631,False,35.24616776753192
2648,True,81.83331625533997
2643,False,59.28483584821813
2654,False,56.9833951850351
2659,True,58.94261347491711
2668,True,59.31125178357391
2672,True,49.389069292118805
2687,True,23.75843305412573
